"VE_COHOUSING.ID_DMP","CI_COHOUSING.ID_DMP","empPV_COHOUSING.ID_DMP","LogL_COHOUSING.ID_DMP","Pv_COHOUSING.ID_DMP","VE_ID","CI_ID","empPV_ID","LogL_ID","Pv_ID","VE_Residual","CI_Residual","empPV_Residual","LogL_Residual","Est_Age","SE_Age","P.Chisq_Age","Est_META.DNA.postclean.reads","SE_META.DNA.postclean.reads","P.Chisq_META.DNA.postclean.reads","Est_META.POOP.Freq","SE_META.POOP.Freq","P.Chisq_META.POOP.Freq","Est_Sex","SE_Sex","P.Chisq_Sex","Trait","Trait.short","N","Nz","Prev","Model","VE_famID","CI_famID","empPV_famID","LogL_famID","Pv_famID"
NA,NA,NA,NA,NA,0.28516157932103,"0.16-0.41",0,-7044.66567042247,1.09474795508092e-05,0.71483842067897,"0.59-0.84",0,-7034.9964049164,-0.0135911303014436,0.00175885060006349,1.09869185363947e-14,-0.197639646349409,0.196875036160758,0.315434657936184,0.131031229446973,0.0364381414899994,0.000323158951800769,0.230373696649561,0.0583797462001088,7.94266102668119e-05,"NAGLIPASYN.PWY..lipid.IVA.biosynthesis","biosynthesis",3571,265,96.77,"heritability.only",NA,NA,NA,NA,NA
0.106891254799306,"0.04-0.17",0,-5347.66079054493,0.000946751140490692,0.262997369133739,"0.13-0.39",0,-5349.64326722557,0.000113732279663914,0.630111376066954,"0.5-0.76",0,-5342.19633489488,-0.00707779898181429,0.00111994997422674,2.61994159384182e-10,-0.443597603812064,0.122654250800569,0.000298439392682836,0.0388951634376684,0.0226832987218774,0.0863993449800297,-0.109725471023495,0.035344319700992,0.00190618601693665,"PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I","I",3571,6,99.93,"no-family",NA,NA,NA,NA,NA
0.106586563883388,"0.04-0.17",0,-5394.33421215528,0.00203258115822902,0.256704576907146,"0.12-0.39",0,-5396.40171111785,0.000219670163661853,0.636708859209466,"0.5-0.78",0,-5389.57427325384,-0.0080348974511779,0.00113472519962462,1.43201385818967e-12,-0.358540451081164,0.12429829817176,0.00392015624974446,0.0338886515358646,0.0229870656119866,0.140414642623287,-0.114663681374125,0.0358217023548239,0.00136972601904799,"PWY0.845..superpathway.of.pyridoxal.5..phosphate.biosynthesis.and.salvage","salvage",3571,12,99.85,"no-family",NA,NA,NA,NA,NA
0.0525294490594277,"0-0.11",0,-4481.8178381234,0.088125973899157,0.248164120492026,"0.12-0.38",0,-4487.18110089202,0.000222031206373603,0.699306430448546,"0.57-0.83",0,-4480.36369959184,-0.00654815783729224,0.000869487306705744,5.03314888270626e-14,-0.288216338733582,0.0963733999241512,0.00278410565665463,0.0303338086446251,0.0178284527896325,0.0888628590592997,-0.0656317888231301,0.0281757882956479,0.0198395615309534,"X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis","biosynthesis",3571,0,100,"no-family",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.247207389087438,"0.12-0.38",0,-4331.06528274935,0.000222766484429307,0.752792610912562,"0.63-0.88",0,-4324.25098509496,-0.00375249569111403,0.00082208253460829,5.00396099949723e-06,-0.371957367354412,0.0921617488931888,5.4388944599648e-05,0.0435379883500209,0.0170577502980325,0.010698745972677,-0.0417193330523694,0.0273333713042096,0.126931449071325,"RHAMCAT.PWY..L.rhamnose.degradation.I","I",3571,0,100,"heritability.only",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.23126301903618,"0.1-0.36",0,-4621.18245481192,0.000563996950221399,0.76873698096382,"0.64-0.89",0,-4615.23685351295,-0.0069097143979676,0.000891259925484027,8.99243323251347e-15,-0.278912821514193,0.0999864851942275,0.00527886468822838,0.0533668091917619,0.0185061467401162,0.00392990240692851,0.011849935207956,0.029656182342252,0.689467929855856,"PWY.6703..preQ0.biosynthesis","biosynthesis",3571,0,100,"heritability.only",NA,NA,NA,NA,NA
0.10957980521794,"0.05-0.17",0,-6259.35334957928,0.000184888368296432,0.244251523357846,"0.11-0.38",0,-6258.27875697446,0.000582975763087215,0.646168671424214,"0.52-0.77",0,-6252.36397390291,-0.00264441646000861,0.00144540381511967,0.0673195433904337,-0.386876430170784,0.158275132927162,0.0145122029120707,0.0541733335333284,0.0292693937812558,0.0641907616770617,-0.103798683588277,0.0455797904336932,0.0227685436660456,"PWY.5101..L.isoleucine.biosynthesis.II","II",3571,57,99.31,"no-family",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.216496139233537,"0.08-0.35",0,-4954.89263810727,0.00131935620299961,0.783503860766463,"0.66-0.91",0,-4949.73501449248,-0.00592912526796209,0.000978117594124842,1.34630466191586e-09,-0.202212250477205,0.109803769753521,0.0655368431512982,0.0469587487400548,0.0203233858236853,0.0208562284453282,0.0341628950846747,0.0325702588896309,0.294224844590966,"PWY4FS.7..phosphatidylglycerol.biosynthesis.I..plastidic.","plastidic",3571,23,99.72,"heritability.only",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.21778336449295,"0.08-0.35",0,-4257.99018235822,0.00163641574979404,0.78221663550705,"0.65-0.91",0,-4253.03102175027,-0.00419994653181153,0.00080479679271392,1.80239537467823e-07,-0.127834877376351,0.0903414012213229,0.157062671665876,0.00325404689230372,0.0167211155191847,0.845700586833799,-0.0409396998507332,0.0267971206157345,0.126570924076456,"PWY0.1319..CDP.diacylglycerol.biosynthesis.II","II",3571,0,100,"heritability.only",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.215375979304879,"0.08-0.35",0,-4260.21381817741,0.0016913280389566,0.784624020695121,"0.66-0.91",0,-4255.2850247224,-0.00442838972938967,0.000805213732367988,3.80556509225847e-08,-0.139088674663688,0.0903981793763415,0.12389647715142,0.0016119382518162,0.0167316525023995,0.923250028413834,-0.0375381442772141,0.0268142686846517,0.161533777430221,"PWY.5667..CDP.diacylglycerol.biosynthesis.I","I",3571,0,100,"heritability.only",NA,NA,NA,NA,NA
